,longitude,latitude,season,so
0,104.5,-1.6666641235351562,DJF,30.57745
1,104.5,-1.5833282470703125,DJF,30.725996
2,104.5,-1.5,DJF,31.00191
3,104.5,-1.4166641235351562,DJF,31.17527
4,104.58334350585938,-1.8333282470703125,DJF,30.448935
5,104.58334350585938,-1.75,DJF,30.645683
6,104.58334350585938,-1.6666641235351562,DJF,30.883749
7,104.58334350585938,-1.5833282470703125,DJF,31.151052
8,104.58334350585938,-1.5,DJF,31.358486
9,104.58334350585938,-1.4166641235351562,DJF,31.537132
10,104.66668701171876,-2.0,DJF,30.445915
11,104.66668701171876,-1.916664123535156,DJF,30.56274
12,104.66668701171876,-1.8333282470703125,DJF,30.737688
13,104.66668701171876,-1.75,DJF,31.045502
14,104.66668701171876,-1.6666641235351562,DJF,31.29435
15,104.66668701171876,-1.5833282470703125,DJF,31.534122
16,104.66668701171876,-1.5,DJF,31.688728
17,104.66668701171876,-1.4166641235351562,DJF,31.820766
18,104.75,-2.0,DJF,30.542942
19,104.75,-1.916664123535156,DJF,30.746473
20,104.75,-1.8333282470703125,DJF,31.024239
21,104.75,-1.75,DJF,31.320015
22,104.75,-1.6666641235351562,DJF,31.537405
23,104.75,-1.5833282470703125,DJF,31.698812
24,104.75,-1.5,DJF,31.883427
25,104.75,-1.4166641235351562,DJF,31.963236
26,104.83334350585938,-2.0,DJF,30.600681
27,104.83334350585938,-1.916664123535156,DJF,30.896965
28,104.83334350585938,-1.8333282470703125,DJF,31.341274
29,104.83334350585938,-1.75,DJF,31.608185
30,104.83334350585938,-1.6666641235351562,DJF,31.7454
31,104.83334350585938,-1.5833282470703125,DJF,31.86769
32,104.83334350585938,-1.5,DJF,32.021763
33,104.83334350585938,-1.4166641235351562,DJF,32.070942
34,104.91668701171876,-2.3333282470703125,DJF,30.03575
35,104.91668701171876,-2.25,DJF,30.345503
36,104.91668701171876,-2.166664123535156,DJF,30.683031
37,104.91668701171876,-2.0833282470703125,DJF,30.624214
38,104.91668701171876,-2.0,DJF,30.711369
39,104.91668701171876,-1.916664123535156,DJF,31.233059
40,104.91668701171876,-1.8333282470703125,DJF,31.576164
41,104.91668701171876,-1.75,DJF,31.750946
42,104.91668701171876,-1.6666641235351562,DJF,31.86179
43,104.91668701171876,-1.5833282470703125,DJF,31.961674
44,104.91668701171876,-1.5,DJF,32.049995
45,104.91668701171876,-1.4166641235351562,DJF,32.08383
46,105.0,-2.3333282470703125,DJF,30.194353
47,105.0,-2.25,DJF,30.82861
48,105.0,-2.166664123535156,DJF,31.407951
49,105.0,-2.0833282470703125,DJF,31.498465
50,105.0,-2.0,DJF,31.633097
51,105.0,-1.916664123535156,DJF,31.845036
52,105.0,-1.8333282470703125,DJF,31.91745
53,105.0,-1.75,DJF,31.955332
54,105.0,-1.6666641235351562,DJF,32.011288
55,105.0,-1.5833282470703125,DJF,32.062912
56,105.0,-1.5,DJF,32.13943
57,105.0,-1.4166641235351562,DJF,32.162403
58,105.08334350585938,-2.3333282470703125,DJF,30.589993
59,105.08334350585938,-2.25,DJF,31.416801
60,105.08334350585938,-2.166664123535156,DJF,31.764584
61,105.08334350585938,-2.0833282470703125,DJF,31.814365
62,105.08334350585938,-2.0,DJF,31.948277
63,105.08334350585938,-1.916664123535156,DJF,31.980272
64,105.08334350585938,-1.8333282470703125,DJF,32.036545
65,105.08334350585938,-1.75,DJF,32.061646
66,105.08334350585938,-1.6666641235351562,DJF,32.106094
67,105.08334350585938,-1.5833282470703125,DJF,32.157257
68,105.08334350585938,-1.5,DJF,32.20957
69,105.08334350585938,-1.4166641235351562,DJF,32.24608
70,105.16668701171876,-2.3333282470703125,DJF,30.586199
71,105.16668701171876,-2.25,DJF,31.497786
72,105.16668701171876,-2.166664123535156,DJF,31.843437
73,105.16668701171876,-2.0833282470703125,DJF,31.830528
74,105.16668701171876,-2.0,DJF,31.94752
75,105.16668701171876,-1.916664123535156,DJF,31.94342
76,105.16668701171876,-1.8333282470703125,DJF,32.034748
77,105.16668701171876,-1.75,DJF,32.095585
78,105.16668701171876,-1.6666641235351562,DJF,32.135124
79,105.16668701171876,-1.5833282470703125,DJF,32.192642
80,105.16668701171876,-1.5,DJF,32.252262
81,105.16668701171876,-1.4166641235351562,DJF,32.299606
82,105.25,-2.3333282470703125,DJF,31.020206
83,105.25,-2.25,DJF,31.674194
84,105.25,-2.166664123535156,DJF,31.819977
85,105.25,-2.0833282470703125,DJF,31.60337
86,105.25,-1.916664123535156,DJF,31.866634
87,105.25,-1.8333282470703125,DJF,31.931358
88,105.25,-1.75,DJF,32.076946
89,105.25,-1.6666641235351562,DJF,32.13396
90,105.25,-1.5833282470703125,DJF,32.199596
91,105.25,-1.5,DJF,32.254078
92,105.25,-1.4166641235351562,DJF,32.288147
93,105.33334350585938,-2.3333282470703125,DJF,31.146095
94,105.33334350585938,-2.25,DJF,31.672197
95,105.33334350585938,-2.166664123535156,DJF,31.77291
96,105.33334350585938,-1.8333282470703125,DJF,31.88746
97,105.33334350585938,-1.75,DJF,31.977583
98,105.33334350585938,-1.6666641235351562,DJF,32.080917
99,105.33334350585938,-1.5833282470703125,DJF,32.141205
100,105.33334350585938,-1.5,DJF,32.22187
101,105.33334350585938,-1.4166641235351562,DJF,32.27083
102,105.41668701171876,-2.3333282470703125,DJF,31.164612
103,105.41668701171876,-2.25,DJF,31.656456
104,105.41668701171876,-2.166664123535156,DJF,31.681759
105,105.41668701171876,-1.5833282470703125,DJF,32.104637
106,105.41668701171876,-1.5,DJF,32.195194
107,105.41668701171876,-1.4166641235351562,DJF,32.25394
108,105.5,-2.3333282470703125,DJF,31.31855
109,105.5,-2.25,DJF,31.672676
110,105.5,-2.166664123535156,DJF,31.618856
111,105.5,-1.5833282470703125,DJF,32.140736
112,105.5,-1.5,DJF,32.188095
113,105.5,-1.4166641235351562,DJF,32.253754
114,105.58334350585938,-2.5833282470703125,DJF,31.201633
115,105.58334350585938,-2.5,DJF,31.290213
116,105.58334350585938,-2.416664123535156,DJF,31.339796
117,105.58334350585938,-2.3333282470703125,DJF,31.35987
118,105.58334350585938,-2.25,DJF,31.669712
119,105.58334350585938,-2.166664123535156,DJF,31.548666
120,105.58334350585938,-1.5833282470703125,DJF,32.11973
121,105.58334350585938,-1.5,DJF,32.16495
122,105.58334350585938,-1.4166641235351562,DJF,32.243546
123,105.66668701171876,-2.666664123535156,DJF,31.058756
124,105.66668701171876,-2.5833282470703125,DJF,31.16204
125,105.66668701171876,-2.5,DJF,31.312473
126,105.66668701171876,-2.416664123535156,DJF,31.37636
127,105.66668701171876,-2.3333282470703125,DJF,31.403782
128,105.66668701171876,-2.25,DJF,31.658651
129,105.66668701171876,-2.166664123535156,DJF,31.488163
130,105.66668701171876,-1.75,DJF,31.70316
131,105.66668701171876,-1.6666641235351562,DJF,31.851078
132,105.66668701171876,-1.5833282470703125,DJF,32.0709
133,105.66668701171876,-1.5,DJF,32.201023
134,105.66668701171876,-1.4166641235351562,DJF,32.269417
135,105.75,-2.666664123535156,DJF,31.01122
136,105.75,-2.5833282470703125,DJF,31.316463
137,105.75,-2.5,DJF,31.387037
138,105.75,-2.416664123535156,DJF,31.406298
139,105.75,-2.3333282470703125,DJF,31.510532
140,105.75,-2.25,DJF,31.570364
141,105.75,-2.166664123535156,DJF,31.365929
142,105.75,-1.75,DJF,31.649567
143,105.75,-1.6666641235351562,DJF,31.766855
144,105.75,-1.5833282470703125,DJF,31.897163
145,105.75,-1.5,DJF,32.08971
146,105.75,-1.4166641235351562,DJF,32.252625
147,105.83334350585938,-3.5833282470703125,DJF,30.300148
148,105.83334350585938,-3.5,DJF,30.42195
149,105.83334350585938,-2.916664123535156,DJF,31.193607
150,105.83334350585938,-2.8333282470703125,DJF,31.227684
151,105.83334350585938,-2.75,DJF,31.21327
152,105.83334350585938,-2.666664123535156,DJF,31.215895
153,105.83334350585938,-2.5833282470703125,DJF,31.326607
154,105.83334350585938,-2.5,DJF,31.254873
155,105.83334350585938,-2.416664123535156,DJF,31.29598
156,105.83334350585938,-2.3333282470703125,DJF,31.301758
157,105.83334350585938,-2.25,DJF,31.263512
158,105.83334350585938,-2.166664123535156,DJF,31.185286
159,105.83334350585938,-1.5,DJF,32.122112
160,105.83334350585938,-1.4166641235351562,DJF,32.28557
161,105.91668701171876,-3.5833282470703125,DJF,30.541178
162,105.91668701171876,-3.5,DJF,30.650198
163,105.91668701171876,-3.416664123535156,DJF,30.658024
164,105.91668701171876,-2.916664123535156,DJF,31.115095
165,105.91668701171876,-2.8333282470703125,DJF,31.157593
166,105.91668701171876,-2.75,DJF,31.043434
167,105.91668701171876,-2.666664123535156,DJF,31.1278
168,105.91668701171876,-2.5833282470703125,DJF,31.131615
169,105.91668701171876,-2.5,DJF,31.140245
170,105.91668701171876,-1.5,DJF,32.11204
171,105.91668701171876,-1.4166641235351562,DJF,32.28662
172,106.0,-3.5833282470703125,DJF,30.697815
173,106.0,-3.5,DJF,30.85907
174,106.0,-3.416664123535156,DJF,30.828512
175,106.0,-3.3333282470703125,DJF,30.780186
176,106.0,-3.0,DJF,31.057835
177,106.0,-2.916664123535156,DJF,31.123587
178,106.0,-2.8333282470703125,DJF,31.148214
179,106.0,-1.5833282470703125,DJF,32.178707
180,106.0,-1.5,DJF,32.211487
181,106.0,-1.4166641235351562,DJF,32.345406
182,106.08334350585938,-3.5833282470703125,DJF,30.935265
183,106.08334350585938,-3.5,DJF,31.01947
184,106.08334350585938,-3.416664123535156,DJF,30.99807
185,106.08334350585938,-3.3333282470703125,DJF,31.014736
186,106.08334350585938,-3.25,DJF,31.026873
187,106.08334350585938,-3.166664123535156,DJF,31.056892
188,106.08334350585938,-3.0833282470703125,DJF,31.075766
189,106.08334350585938,-3.0,DJF,31.09451
190,106.08334350585938,-2.916664123535156,DJF,31.13358
191,106.08334350585938,-2.8333282470703125,DJF,31.090363
192,106.08334350585938,-1.75,DJF,32.201263
193,106.08334350585938,-1.6666641235351562,DJF,32.21899
194,106.08334350585938,-1.5833282470703125,DJF,32.241257
195,106.08334350585938,-1.5,DJF,32.315586
196,106.08334350585938,-1.4166641235351562,DJF,32.423454
197,106.16668701171876,-3.5833282470703125,DJF,31.010677
198,106.16668701171876,-3.5,DJF,31.02948
199,106.16668701171876,-3.416664123535156,DJF,31.008904
200,106.16668701171876,-3.3333282470703125,DJF,31.016418
201,106.16668701171876,-3.25,DJF,31.048296
202,106.16668701171876,-3.166664123535156,DJF,31.068352
203,106.16668701171876,-3.0833282470703125,DJF,31.092949
204,106.16668701171876,-3.0,DJF,31.112406
205,106.16668701171876,-2.916664123535156,DJF,31.137669
206,106.16668701171876,-2.166664123535156,DJF,32.12976
207,106.16668701171876,-2.0833282470703125,DJF,32.135506
208,106.16668701171876,-2.0,DJF,32.17149
209,106.16668701171876,-1.916664123535156,DJF,32.203804
