,longitude,latitude,season,so
0,104.5,-1.6666641235351562,MAM,30.476414
1,104.5,-1.5833282470703125,MAM,30.57252
2,104.5,-1.5,MAM,30.74846
3,104.5,-1.4166641235351562,MAM,30.856361
4,104.58334350585938,-1.8333282470703125,MAM,30.651812
5,104.58334350585938,-1.75,MAM,30.715014
6,104.58334350585938,-1.6666641235351562,MAM,30.768002
7,104.58334350585938,-1.5833282470703125,MAM,30.99619
8,104.58334350585938,-1.5,MAM,31.16649
9,104.58334350585938,-1.4166641235351562,MAM,31.295876
10,104.66668701171876,-2.0,MAM,30.807718
11,104.66668701171876,-1.916664123535156,MAM,30.803864
12,104.66668701171876,-1.8333282470703125,MAM,30.833923
13,104.66668701171876,-1.75,MAM,30.987858
14,104.66668701171876,-1.6666641235351562,MAM,31.141811
15,104.66668701171876,-1.5833282470703125,MAM,31.432251
16,104.66668701171876,-1.5,MAM,31.570238
17,104.66668701171876,-1.4166641235351562,MAM,31.666134
18,104.75,-2.0,MAM,30.861712
19,104.75,-1.916664123535156,MAM,30.918358
20,104.75,-1.8333282470703125,MAM,31.060265
21,104.75,-1.75,MAM,31.249641
22,104.75,-1.6666641235351562,MAM,31.466047
23,104.75,-1.5833282470703125,MAM,31.693533
24,104.75,-1.5,MAM,31.820984
25,104.75,-1.4166641235351562,MAM,31.899118
26,104.83334350585938,-2.0,MAM,30.895233
27,104.83334350585938,-1.916664123535156,MAM,31.057364
28,104.83334350585938,-1.8333282470703125,MAM,31.309685
29,104.83334350585938,-1.75,MAM,31.548897
30,104.83334350585938,-1.6666641235351562,MAM,31.72719
31,104.83334350585938,-1.5833282470703125,MAM,31.855045
32,104.83334350585938,-1.5,MAM,31.958422
33,104.83334350585938,-1.4166641235351562,MAM,32.01927
34,104.91668701171876,-2.3333282470703125,MAM,30.342625
35,104.91668701171876,-2.25,MAM,30.567186
36,104.91668701171876,-2.166664123535156,MAM,30.81315
37,104.91668701171876,-2.0833282470703125,MAM,30.864197
38,104.91668701171876,-2.0,MAM,31.001865
39,104.91668701171876,-1.916664123535156,MAM,31.273733
40,104.91668701171876,-1.8333282470703125,MAM,31.522787
41,104.91668701171876,-1.75,MAM,31.710968
42,104.91668701171876,-1.6666641235351562,MAM,31.829782
43,104.91668701171876,-1.5833282470703125,MAM,31.930084
44,104.91668701171876,-1.5,MAM,32.002
45,104.91668701171876,-1.4166641235351562,MAM,32.068836
46,105.0,-2.3333282470703125,MAM,30.461016
47,105.0,-2.25,MAM,30.775143
48,105.0,-2.166664123535156,MAM,31.083916
49,105.0,-2.0833282470703125,MAM,31.230595
50,105.0,-2.0,MAM,31.449272
51,105.0,-1.916664123535156,MAM,31.638777
52,105.0,-1.8333282470703125,MAM,31.754347
53,105.0,-1.75,MAM,31.823212
54,105.0,-1.6666641235351562,MAM,31.89171
55,105.0,-1.5833282470703125,MAM,31.965528
56,105.0,-1.5,MAM,32.03442
57,105.0,-1.4166641235351562,MAM,32.115746
58,105.08334350585938,-2.3333282470703125,MAM,30.778028
59,105.08334350585938,-2.25,MAM,31.1747
60,105.08334350585938,-2.166664123535156,MAM,31.386854
61,105.08334350585938,-2.0833282470703125,MAM,31.597952
62,105.08334350585938,-2.0,MAM,31.838972
63,105.08334350585938,-1.916664123535156,MAM,31.976725
64,105.08334350585938,-1.8333282470703125,MAM,32.078815
65,105.08334350585938,-1.75,MAM,32.14028
66,105.08334350585938,-1.6666641235351562,MAM,32.16015
67,105.08334350585938,-1.5833282470703125,MAM,32.182823
68,105.08334350585938,-1.5,MAM,32.20199
69,105.08334350585938,-1.4166641235351562,MAM,32.233353
70,105.16668701171876,-2.3333282470703125,MAM,30.865889
71,105.16668701171876,-2.25,MAM,31.23702
72,105.16668701171876,-2.166664123535156,MAM,31.471352
73,105.16668701171876,-2.0833282470703125,MAM,31.701656
74,105.16668701171876,-2.0,MAM,31.930166
75,105.16668701171876,-1.916664123535156,MAM,32.148094
76,105.16668701171876,-1.8333282470703125,MAM,32.23056
77,105.16668701171876,-1.75,MAM,32.303093
78,105.16668701171876,-1.6666641235351562,MAM,32.31738
79,105.16668701171876,-1.5833282470703125,MAM,32.35953
80,105.16668701171876,-1.5,MAM,32.3825
81,105.16668701171876,-1.4166641235351562,MAM,32.40091
82,105.25,-2.3333282470703125,MAM,31.15561
83,105.25,-2.25,MAM,31.340078
84,105.25,-2.166664123535156,MAM,31.430481
85,105.25,-2.0833282470703125,MAM,31.38266
86,105.25,-1.916664123535156,MAM,32.22347
87,105.25,-1.8333282470703125,MAM,32.246376
88,105.25,-1.75,MAM,32.36114
89,105.25,-1.6666641235351562,MAM,32.408585
90,105.25,-1.5833282470703125,MAM,32.45619
91,105.25,-1.5,MAM,32.49648
92,105.25,-1.4166641235351562,MAM,32.4961
93,105.33334350585938,-2.3333282470703125,MAM,31.150496
94,105.33334350585938,-2.25,MAM,31.30915
95,105.33334350585938,-2.166664123535156,MAM,31.277683
96,105.33334350585938,-1.8333282470703125,MAM,32.262978
97,105.33334350585938,-1.75,MAM,32.311195
98,105.33334350585938,-1.6666641235351562,MAM,32.434372
99,105.33334350585938,-1.5833282470703125,MAM,32.484108
100,105.33334350585938,-1.5,MAM,32.535725
101,105.33334350585938,-1.4166641235351562,MAM,32.55356
102,105.41668701171876,-2.3333282470703125,MAM,31.182827
103,105.41668701171876,-2.25,MAM,31.331926
104,105.41668701171876,-2.166664123535156,MAM,31.201714
105,105.41668701171876,-1.5833282470703125,MAM,32.483143
106,105.41668701171876,-1.5,MAM,32.540916
