,longitude,latitude,season,so
0,104.5,-1.6666641235351562,JJA,29.890991
1,104.5,-1.5833282470703125,JJA,29.90489
2,104.5,-1.5,JJA,29.997759
3,104.5,-1.4166641235351562,JJA,30.03263
4,104.58334350585938,-1.8333282470703125,JJA,29.993584
5,104.58334350585938,-1.75,JJA,30.045723
6,104.58334350585938,-1.6666641235351562,JJA,30.031143
7,104.58334350585938,-1.5833282470703125,JJA,30.164026
8,104.58334350585938,-1.5,JJA,30.292885
9,104.58334350585938,-1.4166641235351562,JJA,30.339027
10,104.66668701171876,-2.0,JJA,30.106836
11,104.66668701171876,-1.916664123535156,JJA,30.120321
12,104.66668701171876,-1.8333282470703125,JJA,30.173765
13,104.66668701171876,-1.75,JJA,30.27285
14,104.66668701171876,-1.6666641235351562,JJA,30.277306
15,104.66668701171876,-1.5833282470703125,JJA,30.590784
16,104.66668701171876,-1.5,JJA,30.679062
17,104.66668701171876,-1.4166641235351562,JJA,30.732271
18,104.75,-2.0,JJA,30.235502
19,104.75,-1.916664123535156,JJA,30.31417
20,104.75,-1.8333282470703125,JJA,30.448502
21,104.75,-1.75,JJA,30.548552
22,104.75,-1.6666641235351562,JJA,30.641457
23,104.75,-1.5833282470703125,JJA,30.952776
24,104.75,-1.5,JJA,31.010035
25,104.75,-1.4166641235351562,JJA,31.071665
26,104.83334350585938,-2.0,JJA,30.386213
27,104.83334350585938,-1.916664123535156,JJA,30.581446
28,104.83334350585938,-1.8333282470703125,JJA,30.722303
29,104.83334350585938,-1.75,JJA,30.834097
30,104.83334350585938,-1.6666641235351562,JJA,30.991777
31,104.83334350585938,-1.5833282470703125,JJA,31.180954
32,104.83334350585938,-1.5,JJA,31.219406
33,104.83334350585938,-1.4166641235351562,JJA,31.287539
34,104.91668701171876,-2.3333282470703125,JJA,29.487776
35,104.91668701171876,-2.25,JJA,29.747503
36,104.91668701171876,-2.166664123535156,JJA,30.188013
37,104.91668701171876,-2.0833282470703125,JJA,30.280733
38,104.91668701171876,-2.0,JJA,30.520697
39,104.91668701171876,-1.916664123535156,JJA,30.810944
40,104.91668701171876,-1.8333282470703125,JJA,30.945938
41,104.91668701171876,-1.75,JJA,31.079903
42,104.91668701171876,-1.6666641235351562,JJA,31.229845
43,104.91668701171876,-1.5833282470703125,JJA,31.318176
44,104.91668701171876,-1.5,JJA,31.366762
45,104.91668701171876,-1.4166641235351562,JJA,31.433294
46,105.0,-2.3333282470703125,JJA,29.79013
47,105.0,-2.25,JJA,30.173004
48,105.0,-2.166664123535156,JJA,30.60141
49,105.0,-2.0833282470703125,JJA,30.822021
50,105.0,-2.0,JJA,31.028534
51,105.0,-1.916664123535156,JJA,31.174837
52,105.0,-1.8333282470703125,JJA,31.2723
53,105.0,-1.75,JJA,31.327738
54,105.0,-1.6666641235351562,JJA,31.39332
55,105.0,-1.5833282470703125,JJA,31.399729
56,105.0,-1.5,JJA,31.495604
57,105.0,-1.4166641235351562,JJA,31.555367
58,105.08334350585938,-2.3333282470703125,JJA,30.411783
59,105.08334350585938,-2.25,JJA,30.895761
60,105.08334350585938,-2.166664123535156,JJA,30.93585
61,105.08334350585938,-2.0833282470703125,JJA,31.122416
62,105.08334350585938,-2.0,JJA,31.319735
63,105.08334350585938,-1.916664123535156,JJA,31.58053
64,105.08334350585938,-1.8333282470703125,JJA,31.698051
65,105.08334350585938,-1.75,JJA,31.79038
66,105.08334350585938,-1.6666641235351562,JJA,31.74482
67,105.08334350585938,-1.5833282470703125,JJA,31.738008
68,105.08334350585938,-1.5,JJA,31.765429
69,105.08334350585938,-1.4166641235351562,JJA,31.798529
70,105.16668701171876,-2.3333282470703125,JJA,30.809677
71,105.16668701171876,-2.25,JJA,30.981272
72,105.16668701171876,-2.166664123535156,JJA,30.894602
73,105.16668701171876,-2.0833282470703125,JJA,30.993467
74,105.16668701171876,-2.0,JJA,31.068167
75,105.16668701171876,-1.916664123535156,JJA,31.661386
76,105.16668701171876,-1.8333282470703125,JJA,31.897593
77,105.16668701171876,-1.75,JJA,32.056698
78,105.16668701171876,-1.6666641235351562,JJA,32.055286
79,105.16668701171876,-1.5833282470703125,JJA,32.07085
80,105.16668701171876,-1.5,JJA,32.09344
81,105.16668701171876,-1.4166641235351562,JJA,32.08118
82,105.25,-2.3333282470703125,JJA,31.069223
83,105.25,-2.25,JJA,31.017174
84,105.25,-2.166664123535156,JJA,30.78122
85,105.25,-2.0833282470703125,JJA,30.647036
86,105.25,-1.916664123535156,JJA,31.837301
87,105.25,-1.8333282470703125,JJA,31.904112
88,105.25,-1.75,JJA,32.21433
89,105.25,-1.6666641235351562,JJA,32.324303
90,105.25,-1.5833282470703125,JJA,32.37711
91,105.25,-1.5,JJA,32.409557
92,105.25,-1.4166641235351562,JJA,32.38684
93,105.33334350585938,-2.3333282470703125,JJA,31.0833
94,105.33334350585938,-2.25,JJA,30.967392
95,105.33334350585938,-2.166664123535156,JJA,30.526342
96,105.33334350585938,-1.8333282470703125,JJA,31.947449
97,105.33334350585938,-1.75,JJA,32.078335
98,105.33334350585938,-1.6666641235351562,JJA,32.39706
99,105.33334350585938,-1.5833282470703125,JJA,32.544827
100,105.33334350585938,-1.5,JJA,32.55953
101,105.33334350585938,-1.4166641235351562,JJA,32.530807
102,105.41668701171876,-2.3333282470703125,JJA,31.167572
103,105.41668701171876,-2.25,JJA,31.070955
104,105.41668701171876,-2.166664123535156,JJA,30.622927
105,105.41668701171876,-1.5833282470703125,JJA,32.552494
106,105.41668701171876,-1.5,JJA,32.590477
