,longitude,latitude,season,VHM0,VMDR
87,105.33333333333331,-1.4166666666666714,JJA,0.1767593,120.26774
88,105.41666666666664,-2.25,JJA,0.11637891,132.70934
89,105.41666666666664,-2.1666666666666714,JJA,0.12148081,138.4657
90,105.41666666666664,-1.5,JJA,0.1170923,112.26707
91,105.41666666666664,-1.4166666666666714,JJA,0.16643344,115.02593
92,105.5,-2.25,JJA,0.120978065,143.04164
93,105.5,-2.1666666666666714,JJA,0.12129726,143.04164
94,105.5,-1.5,JJA,0.10497271,105.112465
95,105.5,-1.4166666666666714,JJA,0.16752045,111.59693
96,105.58333333333331,-2.25,JJA,0.11982319,143.57516
97,105.58333333333331,-2.1666666666666714,JJA,0.11307722,149.12004
98,105.58333333333331,-1.5,JJA,0.1135664,101.862
99,105.58333333333331,-1.4166666666666714,JJA,0.18180017,110.40595
