,longitude,latitude,season,VHM0,VMDR
0,104.41666666666664,-1.5,DJF,0.23134783,35.21687
1,104.41666666666664,-1.4166666666666714,DJF,0.22948183,35.30081
2,104.5,-1.5,DJF,0.3582306,38.33847
3,104.5,-1.4166666666666714,DJF,0.3655697,46.217033
4,104.58333333333331,-1.5833333333333428,DJF,0.46602678,62.81566
5,104.58333333333331,-1.5,DJF,0.49328938,79.617256
6,104.58333333333331,-1.4166666666666714,DJF,0.49213693,88.31634
7,104.66666666666664,-1.8333333333333428,DJF,0.4000673,73.68006
8,104.66666666666664,-1.75,DJF,0.46710068,73.68006
9,104.66666666666664,-1.6666666666666714,DJF,0.5129246,74.10333
10,104.66666666666664,-1.5833333333333428,DJF,0.530589,89.22996
11,104.66666666666664,-1.5,DJF,0.5410482,100.28363
12,104.66666666666664,-1.4166666666666714,DJF,0.53887343,102.31506
13,104.75,-2.0,DJF,0.4190019,61.34846
14,104.75,-1.916666666666672,DJF,0.52447975,71.79094
15,104.75,-1.8333333333333428,DJF,0.47514048,73.68006
16,104.75,-1.75,DJF,0.5304794,73.68006
17,104.75,-1.6666666666666714,DJF,0.5580821,74.10333
18,104.75,-1.5833333333333428,DJF,0.5665493,89.22996
19,104.75,-1.5,DJF,0.56865484,100.28363
20,104.75,-1.4166666666666714,DJF,0.5698488,102.31506
21,104.83333333333331,-2.0,DJF,0.51906586,81.30236
22,104.83333333333331,-1.916666666666672,DJF,0.6078347,108.19446
23,104.83333333333331,-1.8333333333333428,DJF,0.53555286,98.047554
24,104.83333333333331,-1.75,DJF,0.5764493,98.047554
25,104.83333333333331,-1.6666666666666714,DJF,0.59220517,95.44418
26,104.83333333333331,-1.5833333333333428,DJF,0.5951722,102.942055
27,104.83333333333331,-1.5,DJF,0.5933319,105.17783
28,104.83333333333331,-1.4166666666666714,DJF,0.60092306,99.02904
29,104.91666666666664,-2.25,DJF,0.3057246,23.076391
30,104.91666666666664,-2.1666666666666714,DJF,0.33429852,32.588684
31,104.91666666666664,-2.083333333333343,DJF,0.39847943,63.94529
32,104.91666666666664,-2.0,DJF,0.49749193,102.67484
33,104.91666666666664,-1.916666666666672,DJF,0.54652214,122.14812
34,104.91666666666664,-1.8333333333333428,DJF,0.5878879,115.26462
35,104.91666666666664,-1.75,DJF,0.61300313,115.26462
36,104.91666666666664,-1.6666666666666714,DJF,0.62570924,110.45045
37,104.91666666666664,-1.5833333333333428,DJF,0.6321799,103.81437
38,104.91666666666664,-1.5,DJF,0.6306942,100.96318
39,104.91666666666664,-1.4166666666666714,DJF,0.64528185,87.82793
40,105.0,-2.25,DJF,0.4405527,146.34457
41,105.0,-2.1666666666666714,DJF,0.4507119,146.34457
42,105.0,-2.083333333333343,DJF,0.48997203,153.26604
43,105.0,-2.0,DJF,0.57931703,158.3061
44,105.0,-1.916666666666672,DJF,0.6051039,157.74245
45,105.0,-1.8333333333333428,DJF,0.62381643,151.00948
46,105.0,-1.75,DJF,0.638228,139.06079
47,105.0,-1.6666666666666714,DJF,0.65663755,139.06079
48,105.0,-1.5833333333333428,DJF,0.67971325,115.52392
49,105.0,-1.5,DJF,0.6895782,99.215416
50,105.0,-1.4166666666666714,DJF,0.7088476,77.80833
51,105.08333333333331,-2.25,DJF,0.4467625,307.49963
52,105.08333333333331,-2.1666666666666714,DJF,0.4889204,302.71912
53,105.08333333333331,-2.083333333333343,DJF,0.50712717,295.73782
54,105.08333333333331,-2.0,DJF,0.5351724,272.33768
55,105.08333333333331,-1.916666666666672,DJF,0.578128,237.97675
56,105.08333333333331,-1.8333333333333428,DJF,0.6056462,219.9308
57,105.08333333333331,-1.75,DJF,0.6240242,219.9308
58,105.08333333333331,-1.6666666666666714,DJF,0.64245063,204.47433
59,105.08333333333331,-1.5833333333333428,DJF,0.66446894,182.06122
60,105.08333333333331,-1.5,DJF,0.6813814,161.06534
61,105.08333333333331,-1.4166666666666714,DJF,0.7037484,134.7313
62,105.16666666666664,-2.25,DJF,0.38924405,329.23227
63,105.16666666666664,-2.1666666666666714,DJF,0.39878032,324.91104
64,105.16666666666664,-2.083333333333343,DJF,0.39752367,324.9979
65,105.16666666666664,-2.0,DJF,0.47725165,305.19983
66,105.16666666666664,-1.916666666666672,DJF,0.5108077,308.28876
67,105.16666666666664,-1.8333333333333428,DJF,0.5527114,289.31976
68,105.16666666666664,-1.75,DJF,0.5808552,289.31976
69,105.16666666666664,-1.6666666666666714,DJF,0.5940143,268.26184
70,105.16666666666664,-1.5833333333333428,DJF,0.6002448,257.60617
