,longitude,latitude,season,thetao
0,104.5,-1.6666641235351562,MAM,30.930769
1,104.5,-1.5833282470703125,MAM,30.902042
2,104.5,-1.5,MAM,30.864937
3,104.5,-1.4166641235351562,MAM,30.898952
4,104.58334350585938,-1.8333282470703125,MAM,30.817396
5,104.58334350585938,-1.75,MAM,30.805908
6,104.58334350585938,-1.6666641235351562,MAM,30.7905
7,104.58334350585938,-1.5833282470703125,MAM,30.70145
8,104.58334350585938,-1.5,MAM,30.688337
9,104.58334350585938,-1.4166641235351562,MAM,30.687998
10,104.66668701171876,-2.0,MAM,30.845716
11,104.66668701171876,-1.916664123535156,MAM,30.780037
12,104.66668701171876,-1.8333282470703125,MAM,30.697561
13,104.66668701171876,-1.75,MAM,30.661167
14,104.66668701171876,-1.6666641235351562,MAM,30.63116
15,104.66668701171876,-1.5833282470703125,MAM,30.537088
16,104.66668701171876,-1.5,MAM,30.58239
17,104.66668701171876,-1.4166641235351562,MAM,30.58323
18,104.75,-2.0,MAM,30.793583
19,104.75,-1.916664123535156,MAM,30.710514
20,104.75,-1.8333282470703125,MAM,30.622982
21,104.75,-1.75,MAM,30.617985
22,104.75,-1.6666641235351562,MAM,30.611864
23,104.75,-1.5833282470703125,MAM,30.544369
24,104.75,-1.5,MAM,30.56621
25,104.75,-1.4166641235351562,MAM,30.538792
26,104.83334350585938,-2.0,MAM,30.707829
27,104.83334350585938,-1.916664123535156,MAM,30.603218
28,104.83334350585938,-1.8333282470703125,MAM,30.548841
29,104.83334350585938,-1.75,MAM,30.555311
30,104.83334350585938,-1.6666641235351562,MAM,30.521214
31,104.83334350585938,-1.5833282470703125,MAM,30.473454
32,104.83334350585938,-1.5,MAM,30.471066
33,104.83334350585938,-1.4166641235351562,MAM,30.440104
34,104.91668701171876,-2.3333282470703125,MAM,30.823582
35,104.91668701171876,-2.25,MAM,30.636787
36,104.91668701171876,-2.166664123535156,MAM,30.453966
37,104.91668701171876,-2.0833282470703125,MAM,30.523346
38,104.91668701171876,-2.0,MAM,30.515205
39,104.91668701171876,-1.916664123535156,MAM,30.411207
40,104.91668701171876,-1.8333282470703125,MAM,30.450256
41,104.91668701171876,-1.75,MAM,30.427738
42,104.91668701171876,-1.6666641235351562,MAM,30.397945
43,104.91668701171876,-1.5833282470703125,MAM,30.383633
44,104.91668701171876,-1.5,MAM,30.416496
45,104.91668701171876,-1.4166641235351562,MAM,30.408041
46,105.0,-2.3333282470703125,MAM,30.713356
47,105.0,-2.25,MAM,30.380867
48,105.0,-2.166664123535156,MAM,30.149174
49,105.0,-2.0833282470703125,MAM,30.131783
50,105.0,-2.0,MAM,30.153656
51,105.0,-1.916664123535156,MAM,30.144436
52,105.0,-1.8333282470703125,MAM,30.16094
53,105.0,-1.75,MAM,30.18984
54,105.0,-1.6666641235351562,MAM,30.199118
55,105.0,-1.5833282470703125,MAM,30.241673
56,105.0,-1.5,MAM,30.244856
57,105.0,-1.4166641235351562,MAM,30.268965
58,105.08334350585938,-2.3333282470703125,MAM,30.513214
59,105.08334350585938,-2.25,MAM,30.132643
60,105.08334350585938,-2.166664123535156,MAM,30.035872
61,105.08334350585938,-2.0833282470703125,MAM,30.061441
62,105.08334350585938,-2.0,MAM,30.127419
63,105.08334350585938,-1.916664123535156,MAM,30.130632
64,105.08334350585938,-1.8333282470703125,MAM,30.13593
65,105.08334350585938,-1.75,MAM,30.168592
66,105.08334350585938,-1.6666641235351562,MAM,30.1812
67,105.08334350585938,-1.5833282470703125,MAM,30.18723
68,105.08334350585938,-1.5,MAM,30.186771
69,105.08334350585938,-1.4166641235351562,MAM,30.167044
70,105.16668701171876,-2.3333282470703125,MAM,30.565369
71,105.16668701171876,-2.25,MAM,30.116127
72,105.16668701171876,-2.166664123535156,MAM,30.066074
73,105.16668701171876,-2.0833282470703125,MAM,30.19217
74,105.16668701171876,-2.0,MAM,30.376665
75,105.16668701171876,-1.916664123535156,MAM,30.253405
76,105.16668701171876,-1.8333282470703125,MAM,30.136648
77,105.16668701171876,-1.75,MAM,30.12687
78,105.16668701171876,-1.6666641235351562,MAM,30.142897
79,105.16668701171876,-1.5833282470703125,MAM,30.168121
80,105.16668701171876,-1.5,MAM,30.172106
